Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0
25,58,0,1,0
50,210,0,1,0
75,290,0,1,0
100,376,0,1,0
125,472,0,2,0
150,574,0,7,0
175,676,0,7,0
200,676,0,9,0
225,788,0,12,0
250,902,0,18,0
275,902,0,28,0
300,902,0,36,0
325,902,0,40,0
350,902,0,46,0
375,902,0,54,0
400,1016,0,61,0
425,1016,0,71,0
450,1130,0,80,0
475,1130,0,90,0
500,1130,0,104,0
525,1130,0,115,0
550,1130,0,123,0
575,1130,0,134,0
600,1130,0,142,0
625,1130,0,150,0
650,1130,0,162,0
675,1244,0,173,0
700,1244,0,184,0
725,1244,0,194,0
750,1244,0,210,0
775,1244,0,223,0
800,1244,0,233,0
825,1244,0,246,0
850,1244,0,252,0
875,1358,0,265,0
900,1358,0,273,0
925,1358,0,284,0
950,1358,0,293,0
975,1358,0,304,0
1000,1358,0,318,0
1025,1358,0,329,0
1050,1358,0,342,0
1075,1472,0,353,0
1100,1472,0,368,0
1125,1472,0,381,0
1150,1472,0,391,0
1175,1472,0,407,0
1200,1472,0,423,0
1225,1472,0,440,0
1250,1472,0,453,0
1275,1472,0,462,0
1300,1472,0,478,0
1325,1472,0,489,0
1350,1472,0,503,0
1375,1472,0,518,0
1400,1586,0,535,0
1425,1586,0,545,0
1450,1586,0,557,0
1475,1586,0,574,0
1500,1586,0,586,0
1525,1586,0,603,0
1550,1586,0,616,0
1575,1586,0,635,0
1600,1586,0,651,0
1625,1586,0,667,0
1650,1586,0,681,0
1675,1586,0,696,0
1700,1586,0,707,0
1725,1586,0,720,0
1750,1586,0,734,0
1775,1700,0,750,0
1800,1700,0,761,0
1825,1700,0,780,0
1850,1700,0,792,0
1875,1700,0,809,0
1900,1700,0,823,0
1925,1700,0,834,0
1950,1700,0,849,0
1975,1700,0,864,0
2000,1700,0,876,0
2025,1700,0,885,0
2050,1700,0,901,0
2075,1700,0,924,0
2100,1700,0,945,0
2125,1700,0,965,0
2150,1700,0,987,0
2175,1814,0,1009,0
2200,1814,0,1031,0
2225,1814,0,1053,0
2250,1814,0,1074,0
2275,1814,0,1097,0
2300,1814,0,1118,0
2325,1814,0,1142,0
2350,1814,0,1165,0
2375,1814,0,1187,0
2400,1814,0,1207,0
2425,1814,0,1230,0
2450,1814,0,1251,0
2475,1814,0,1272,0
2500,1814,0,1291,0
2525,1814,0,1311,0
2550,1814,0,1334,0
2575,1814,0,1354,0
2600,1814,0,1374,0
2625,1928,0,1395,0
2650,1928,0,1414,0
2675,1928,0,1435,0
2700,1928,0,1457,0
2725,1928,0,1476,0
2750,1928,0,1497,0
2775,1928,0,1517,0
2800,1928,0,1538,0
2825,1928,0,1555,0
2850,1928,0,1572,0
2875,1928,0,1595,0
2900,1928,0,1614,0
2925,1928,0,1634,0
2950,2042,0,1652,0
2975,2042,0,1670,0
3000,2042,0,1692,0
3025,2042,0,1711,0
3050,2042,0,1732,0
3075,2042,0,1752,0
3100,2042,0,1769,0
3125,2042,0,1784,0
3150,2042,0,1805,0
3175,2042,0,1822,0
3200,2042,0,1843,0
3225,2042,0,1860,0
3250,2042,0,1878,0
3275,2042,0,1893,0
3300,2042,0,1910,0
3325,2042,0,1930,0
3350,2042,0,1948,0
3375,2042,0,1967,0
3400,2042,0,1985,0
3425,2042,0,2003,0
3450,2042,0,2016,0
3475,2042,0,2033,0
3500,2156,0,2048,0
3525,2156,0,2067,0
3550,2156,0,2084,2
3575,2156,0,2102,2
3600,2156,0,2120,4
3625,2156,0,2131,4
3650,2156,0,2146,26
3675,2156,0,2163,26
3700,2156,0,2177,26
3725,2156,0,2189,36
3750,2156,0,2204,36
3775,2156,0,2221,40
3800,2156,0,2239,40
3825,2270,0,2255,56
3850,2270,0,2269,56
3875,2270,0,2283,56
3900,2270,0,2303,68
3925,2270,0,2317,68
