Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
0,0,0,0,0
25,76,0,1,0
50,188,0,1,0
75,258,0,1,0
100,450,0,1,0
125,560,0,1,0
150,802,0,1,0
175,934,0,2,0
200,1212,0,5,0
225,1212,0,7,0
250,1358,0,11,0
275,1358,0,13,0
300,1504,0,19,0
325,1504,0,23,0
350,1504,0,26,0
375,1504,0,31,0
400,1504,0,41,0
425,1654,0,47,0
450,1654,0,57,0
475,1654,0,63,0
500,1654,0,76,0
525,1654,0,85,0
550,1654,0,95,0
575,1654,0,104,0
600,1654,0,112,0
625,1804,0,119,0
650,1804,0,128,0
675,1804,0,141,0
700,1804,0,154,0
725,1804,0,162,0
750,1804,0,172,0
775,1804,0,181,0
800,1954,0,188,0
825,1954,0,198,0
850,1954,0,203,0
875,1954,0,216,0
900,1954,0,227,0
925,1954,0,237,0
950,1954,0,251,0
975,1954,0,262,0
1000,1954,0,271,0
1025,2104,0,279,0
1050,2104,0,290,0
1075,2104,0,303,0
1100,2104,0,314,0
1125,2104,0,323,0
1150,2104,0,335,0
1175,2104,0,345,0
1200,2104,0,354,0
1225,2104,0,366,0
1250,2104,0,377,0
1275,2254,0,391,0
1300,2254,0,403,0
1325,2254,0,413,0
1350,2254,0,425,0
1375,2254,0,437,0
1400,2254,0,450,0
1425,2254,0,459,0
1450,2254,0,469,0
1475,2254,0,478,0
1500,2254,0,487,0
1525,2254,0,501,0
1550,2404,0,511,0
1575,2404,0,522,0
1600,2404,0,537,0
1625,2404,0,547,0
1650,2404,0,560,0
1675,2404,0,573,0
1700,2404,0,584,0
1725,2404,0,596,0
1750,2404,0,607,0
1775,2404,0,617,0
1800,2404,0,628,0
1825,2404,0,641,0
1850,2554,0,654,0
1875,2554,0,664,0
1900,2554,0,679,0
1925,2554,0,690,0
1950,2554,0,701,0
1975,2554,0,715,0
2000,2554,0,725,0
2025,2554,0,735,0
2050,2554,0,748,0
2075,2554,0,765,0
2100,2554,0,779,0
2125,2554,0,797,0
2150,2554,0,814,0
2175,2554,0,833,0
2200,2554,0,855,0
2225,2704,0,876,0
2250,2704,0,896,0
2275,2704,0,917,0
2300,2704,0,936,0
2325,2704,0,953,0
2350,2704,0,970,0
2375,2704,0,990,0
2400,2704,0,1011,0
2425,2704,0,1028,0
2450,2704,0,1048,0
2475,2704,0,1066,0
2500,2704,0,1087,0
2525,2704,0,1107,0
2550,2704,0,1128,0
2575,2704,0,1146,0
2600,2704,0,1163,0
2625,2704,0,1178,0
2650,2704,0,1198,0
2675,2704,0,1214,0
2700,2704,0,1238,0
2725,2704,0,1254,0
2750,2704,0,1274,0
2775,2704,0,1295,0
2800,2704,0,1313,0
2825,2854,0,1335,0
2850,2854,0,1354,0
2875,2854,0,1372,0
2900,2854,0,1392,0
2925,2854,0,1413,0
2950,2854,0,1431,0
2975,2854,0,1451,0
3000,2854,0,1474,0
3025,2854,0,1494,0
3050,2854,0,1513,0
3075,2854,0,1531,0
3100,2854,0,1551,0
3125,2854,0,1570,0
3150,2854,0,1593,0
3175,2854,0,1609,0
3200,2854,0,1629,0
3225,2854,0,1648,0
3250,2854,0,1667,0
3275,2854,0,1687,0
3300,2854,0,1705,0
3325,2854,0,1727,0
3350,2854,0,1744,0
3375,2854,0,1761,0
3400,3004,0,1781,0
3425,3004,0,1795,0
3450,3004,0,1811,0
3475,3004,0,1831,0
3500,3004,0,1846,0
3525,3004,0,1866,0
3550,3004,0,1882,4
3575,3004,0,1903,4
3600,3004,0,1919,4
3625,3004,0,1936,6
3650,3004,0,1952,6
3675,3004,0,1975,6
3700,3004,0,1993,16
3725,3004,0,2005,16
3750,3004,0,2022,16
3775,3004,0,2042,28
3800,3004,0,2062,28
3825,3004,0,2077,28
3850,3004,0,2095,30
3875,3004,0,2111,30
3900,3004,0,2126,30
3925,3004,0,2143,32
3950,3004,0,2161,32
3975,3004,0,2180,32
4000,3004,0,2196,38
4025,3004,0,2208,38
4050,3004,0,2224,38
4075,3004,0,2239,40
4100,3004,0,2254,40
4125,3004,0,2270,40
4150,3004,0,2284,70
4175,3004,0,2299,70
4200,3004,0,2321,70
4225,3154,0,2339,94
4250,3154,0,2358,94
4275,3154,0,2376,94
4300,3154,0,2395,102
4325,3154,0,2409,102
4350,3154,0,2427,102
4375,3154,0,2448,128
4400,3154,0,2466,128
4425,3154,0,2486,128
4450,3154,0,2502,130
4475,3154,0,2520,130
4500,3154,0,2536,130
4525,3154,0,2553,156
4550,3154,0,2570,156
4575,3154,0,2585,156
4600,3154,0,2604,160
4625,3154,0,2624,160
4650,3304,0,2638,160
4675,3304,0,2655,184
4700,3304,0,2670,184
4725,3304,0,2685,184
4750,3304,0,2707,186
4775,3304,0,2720,186
4800,3304,0,2737,186
4825,3304,0,2752,188
4850,3304,0,2772,188
4875,3304,0,2787,188
4900,3304,0,2803,224
4925,3304,0,2823,224
4950,3304,0,2841,224
4975,3304,0,2857,226
5000,3304,0,2872,226
5025,3304,0,2887,226
5050,3304,0,2904,232
5075,3304,0,2917,232
5100,3304,0,2936,232
5125,3304,0,2952,256
5150,3304,0,2971,256
5175,3304,0,2985,256
5200,3304,0,3004,268
5225,3304,0,3014,268
5250,3304,0,3027,268
5275,3304,0,3045,272
5300,3304,0,3061,272
5325,3304,0,3079,272
5350,3304,0,3096,298
5375,3304,0,3113,298
5400,3304,0,3129,298
5425,3304,0,3140,302
5450,3304,0,3156,302
5475,3304,0,3172,302
5500,3304,0,3186,324
5525,3304,0,3200,324
5550,3304,0,3213,324
5575,3454,0,3229,330
5600,3454,0,3241,330
5625,3454,0,3255,330
5650,3454,0,3273,334
5675,3454,0,3287,334
5700,3454,0,3304,334
5725,3454,0,3320,346
5750,3454,0,3334,346
5775,3454,0,3351,346
5800,3454,0,3363,348
5825,3454,0,3376,348
5850,3454,0,3389,348
5875,3454,0,3399,352
5900,3454,0,3415,352
5925,3454,0,3428,352
5950,3454,0,3442,360
5975,3454,0,3457,360
6000,3454,0,3469,360
6025,3454,0,3486,368
6050,3454,0,3500,368
6075,3454,0,3510,368
6100,3454,0,3523,394
6125,3454,0,3532,394
6150,3454,0,3545,394
6175,3454,0,3558,396
6200,3454,0,3574,396
6225,3454,0,3587,396
6250,3454,0,3601,408
6275,3454,0,3613,408
6300,3454,0,3624,408
6325,3454,0,3634,416
6350,3454,0,3645,416
6375,3454,0,3659,416
6400,3454,0,3672,430
6425,3454,0,3687,430
6450,3454,0,3701,430
